'RK’,'depth’
833.6018,10.857363
836.5479,11.421363
839.6608,11.214988
842.7726,11.734178
845.8839,12.64751
848.9957,13.18462
851.7773,13.08578
854.625,13.0765
857.5712,13.66738
860.2502,15.763167
862.7663,16.013697
865.2175,15.475957
867.2038,15.825084
869.2921,14.33788
871.6776,13.388101
873.6658,12.438371
875.6189,12.823331
877.1422,12.760461
878.4333,12.921551
880.023,12.724311
881.5787,13.118271
883.201,13.234541
885.0882,13.377647
886.7744,15.070451
888.6273,15.97497
890.5465,16.83469
892.5339,16.39554
894.6214,15.472665
896.676,14.379605
898.9613,13.976255
901.7435,13.483275
904.789,14.038315
907.5698,14.423185
910.816,13.679345
913.5986,12.908672
916.5137,12.146942
919.7912,12.603412
923.2655,14.242277
926.8405,15.039107
930.1513,15.352257
933.3615,16.543267
936.1429,16.632527
938.9903,16.865107
941.309,16.300511
944.1218,17.482604
947.2,18.279494
950.0136,18.879344
952.4636,19.103004
954.7476,19.622294
957.0978,20.141574
959.0527,19.308294
960.9744,18.528764
963.1596,18.653934
965.4757,19.86296
967.3953,20.53457
968.8842,21.32267
970.3731,22.14661
972.095,22.10163
973.883,22.11934
975.2735,22.30729
976.9618,22.55791
978.8154,22.97871
980.3379,23.44433
982.0261,23.78453
983.9461,24.08888
985.9656,24.35739
987.9851,24.56319
989.8724,24.69735
991.9572,25.59288
994.0428,25.92408
995.8296,26.82861
997.6179,26.73883
999.6702,27.21336
1001.4584,27.15046
1003.3125,27.33836
1005.067,27.59793
1006.6572,27.11404
1008.5118,26.87197
1010.2354,25.68937
1011.9913,25.03527
1013.9467,23.84368
1016.0981,24.43465
1017.9538,23.46701
1019.9405,23.4847
1021.5302,23.26058
1023.1203,22.83044
1024.7088,23.40355
1025.9334,23.81547
1027.0574,25.06046
1028.3472,26.10836
1029.5039,27.58624
1030.4967,27.94443
1031.8527,29.00129
1033.1763,29.61026
1034.566,30.3088
1036.0874,31.46416
1037.8083,32.091
1039.496,32.74472
1041.1184,32.78037
1042.8068,33.03995
1044.3973,32.34108
1045.7555,31.99158
1046.7819,32.06312
1047.7097,31.62409
1049.0026,30.60277
1050.4279,29.68893
1051.721,28.54221
1053.0791,28.24645
1054.5027,28.42544
1055.8592,29.18669
1057.3803,30.53912
1058.9676,31.92738
1060.6559,32.23175
1062.2778,32.66154
1063.6346,33.17198
1064.6284,32.85835
1066.0518,33.19858
1067.6408,33.44922
1069.1644,33.19824
1070.5554,32.96518
1071.8485,31.83637
1073.1752,30.35821
1074.4668,30.2237
1075.7907,30.5729
1077.114,31.43269
1078.5027,32.75827
1079.4608,34.13764
1080.3885,33.77923
1081.348,34.26283
1082.2424,34.04775
1083.2354,34.30741
1084.1947,34.97913
1085.0566,34.29826
1086.2828,33.63525
1087.4093,33.14245
1088.4704,32.13908
1089.4644,31.75379
1090.2583,32.31803
1091.0203,32.07609
1092.1125,32.43427
1093.0388,32.97163
1093.9983,33.46419
1095.0241,33.9657
1095.9172,34.55681
1096.7444,34.95085
1097.6041,35.7659
1098.597,36.09722
1099.5899,36.41063
1100.9135,36.9569
1101.9068,36.97471
1102.9993,37.14478
1104.1579,37.37755
1105.5143,38.2015
1106.7056,38.74778
1108.195,39.24924
1109.718,39.40135
1111.1749,39.43702
1112.7317,39.0875
1114.0571,38.5051
1115.7123,38.80051
1117.2682,39.05115
1118.8563,39.91091
1120.4446,40.59152
1122.1001,40.67196
1123.4252,40.21498
1124.9829,39.26529
1127.037,38.50366
1129.023,39.01402
1131.0084,39.9454
1133.1601,40.39305
1135.3118,40.80486
1137.4644,40.58067
1139.3527,40.05195
1141.4384,40.31148
1143.7578,39.35275
1146.1089,39.29874
1148.2617,38.96706
1150.7462,38.26808
1153.3625,37.96322
1155.4828,37.20158
1157.635,37.30883
1159.8197,37.81022
1162.2025,38.66093
1164.7178,39.48476
1167.2641,41.70597
1169.6126,43.38079
1171.8295,44.49129
1173.8814,45.17185
1175.9005,45.6643
1178.0844,46.69418
1180.535,46.5058
1182.7864,46.69366
1184.8398,46.38887
1186.7275,46.18263
1188.6148,46.25408
1190.5013,46.82716
1192.3214,47.55253
1193.943,48.20625
1195.4331,48.20608
1196.7913,47.77596
1197.9503,47.69521
1199.2098,46.84409
1200.634,46.61103
1201.926,46.21675
1203.2512,45.77768
1204.4785,44.39806
1205.9031,43.88731
1207.4594,43.86027
1209.0479,44.48713
1210.6032,45.14983
1212.1607,44.3793
1213.749,45.14948
1215.2704,46.31381
1216.7262,47.09296
1218.3146,47.77356
1220.1007,49.03639
1221.5907,49.08102
1223.0807,49.10772
1224.4726,48.31033
1225.9641,47.38752
1227.553,47.71877
1229.3434,46.1689
1231.0993,45.60437
1232.8872,45.74749
1234.576,45.69356
1236.2318,45.62171
1238.0188,46.32916
1239.8389,47.09036
1242.0228,48.10233
1244.1743,48.63059
1246.556,50.20687
1248.6045,53.1537
1251.1534,53.6013
1253.9688,53.0277
1256.6852,52.24808
1259.3001,52.9017
1262.3146,52.08622
1265.3285,51.638
1268.1753,52.24681
1271.5198,52.1479
1274.6648,52.61335
1278.1418,52.53235
1281.916,52.97981
1285.4255,53.2571
1288.9678,53.71354
1292.7418,54.28641
1296.2169,55.41468
1299.5932,56.1757
1303.0709,55.56619
1306.1164,56.17497
1309.1322,54.50851
1312.112,54.73211
1314.495,55.4395
1317.0429,56.61267
1319.3259,57.80378
1321.4127,57.33775
1323.4341,56.29844
1325.4865,56.71922
1327.3389,57.96412
1329.4891,59.36128
1331.671,61.7169
1333.5253,61.73461
1335.2148,61.27758
1336.5736,60.50707
1337.999,59.48574
1339.7537,59.60199
1341.3069,61.67103
1343.0945,61.96643
1345.1479,61.7333
1346.9364,61.41958
1348.5604,60.38031
1350.5134,60.81006
1352.6661,60.53213
1355.1485,61.24846
1357.7291,62.6814
1360.0789,63.50524
1362.9263,63.71991
1365.5423,63.66588
1367.8622,62.33093
1370.2796,62.22317
1372.9269,63.39632
1375.3449,62.87651
1377.4971,62.99272
1379.6173,62.30275
1381.8046,61.05739
1383.9586,59.95536
1385.6818,59.02357
1387.4367,59.04128
1389.2231,60.12496
1390.7785,60.74286
1392.2032,60.16046
1393.6266,60.40215
1395.0838,60.19596
1396.3406,61.16324
1397.4311,62.668
1398.4556,64.00257
1399.6127,65.24755
1400.7712,65.57886
1402.0299,65.27416
